,Unnamed: 0,Text,Source,cleaned_text,Topics,Labels
0,0,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,StormFront,click below for a free download of a colorfully illustrated     page e book on the zionist engineered intentional destruction of western civilization  ,0,Radicalization
1,1,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",StormFront,she may or may not be a jew but she  s certainly stupid   she seems to think the blacks wo n t kill her alongside every other white they can get their dirty hands on   what a muppet  ,0,Radicalization
2,2,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",StormFront,i  ve always considered teaching as one of the professions i would like to get into   but not in a neighbourhood like that     never  kids like that disgust me  ,0,Radicalization
3,3,And the sad thing is the white students at those schools will act like that too .,StormFront,and the sad thing is the white students at those schools will act like that too  ,0,Radicalization
4,4,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,StormFront,their gods often had pale skin and blue eyes but i suppose literacy is n t valued highly by their cultural intelligencia  ,1,Recruitment
5,5,Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,StormFront,greece need a man like adolf hitler and now is the perfect time to start a national political movement to free your country from the zionist bankers,0,Radicalization
6,6,He is a pathetic little chimp .,StormFront,he is a pathetic little chimp  ,2,Propaganda
7,7,Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,StormFront,try el paso texas soo much mudd invasion that the river is the same color as those playing crossing in it    year round  ,0,Radicalization
8,8,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",StormFront,here is a video of the event that is worth watching just to see a beautiful white lady screaming    scum   scum   scum   f       ing scum        at the muslim filth  ,0,Radicalization
9,9,"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",StormFront,i suppose the concept of a male cow and a female cow producing more cows   and the repeating process is too much for them to understand  ,0,Radicalization
10,10,May they all get mad cow disease .,StormFront,may they all get mad cow disease  ,0,Radicalization
11,11,"Nevermind, found the new page Knew it had to be a groid .... any report of rape ?",StormFront,nevermind  found the new page knew it had to be a groid      any report of rape  ,0,Radicalization
